"quadrat_id","species_ids"
"2024-CEV3-20240602","[1360187, 1362443, 1395045, 1360203, 1392059, 1395114, 1356275, 1400181, 1738679]"
"CBN-PdlC-A1-20130807","[1395807, 1392608, 1394911, 1412857, 1394643, 1392535, 1737507, 1392539, 1741808]"
"CBN-PdlC-A1-20130903","[1392608, 1395807, 1412857, 1394643, 1392539, 1742052, 1388793, 1394641, 1360299]"
"CBN-PdlC-A1-20140721","[1392608, 1395807, 1412857, 1394911, 1392535, 1394643, 1397535, 1392534, 1392539]"
"CBN-PdlC-A1-20140811","[1395807, 1392608, 1412857, 1392539, 1394911, 1394643, 1742052, 1392535, 1519650]"
"CBN-PdlC-A1-20140901","[1392608, 1394643, 1395807, 1412857, 1392539, 1742052, 1388793, 1392535, 1389929]"
"CBN-PdlC-A1-20150701","[1392608, 1395807, 1394911, 1392535, 1394643, 1392539, 1412857, 1397535, 1741880]"
"CBN-PdlC-A1-20150720","[1392608, 1395807, 1412857, 1392535, 1394643, 1394911, 1742052, 1394540, 1392539]"
"CBN-PdlC-A1-20150831","[1392608, 1412857, 1395807, 1394643, 1742052, 1392535, 1519650, 1394911, 1394641]"
"CBN-PdlC-A1-20160705","[1392608, 1394911, 1412857, 1395807, 1394643, 1392535, 1397535, 1360299, 1392539]"
"CBN-PdlC-A1-20160726","[1392608, 1395807, 1412857, 1392535, 1394643, 1392539, 1394911, 1742052, 1392534]"
"CBN-PdlC-A1-20170816","[1392608, 1412857, 1395807, 1394643, 1742052, 1392535, 1392553, 1392539, 1389929]"
"CBN-PdlC-A1-20170906","[1392608, 1412857, 1395807, 1394643, 1392535, 1742052, 1392611, 1392558, 1519650]"
"CBN-PdlC-A1-20180702","[1392608, 1394911, 1395807, 1664563, 1397535, 1392534, 1394643, 1394910, 1412857]"
"CBN-PdlC-A1-20180815","[1392608, 1412857, 1395807, 1359835, 1392558, 1394643, 1360299, 1395862, 1394910]"
"CBN-PdlC-A1-20180905","[1392608, 1412857, 1395807, 1392558, 1360299, 1394643, 1392535, 1742052, 1392553]"
"CBN-PdlC-A1-20190701","[1392608, 1394911, 1395807, 1392535, 1394910, 1397535, 1556096, 1737507, 1392534]"
"CBN-PdlC-A1-20190722","[1392608, 1395807, 1742052, 1412857, 1394540, 1394643, 1395870, 1392539, 1396869]"
"CBN-PdlC-A1-20190812","[1392608, 1395807, 1412857, 1742052, 1394643, 1392611, 1392558, 1359835, 1394540]"
"CBN-PdlC-A1-20190909","[1392608, 1395807, 1412857, 1742052, 1394311, 1394643, 1389929, 1392539, 1390793]"
"CBN-PdlC-A1-20200629","[1390539, 1390933, 1390880, 1394613, 1390760, 1361820, 1389603, 1384482, 1741808]"
"CBN-PdlC-A1-20200722","[1392608, 1395807, 1412857, 1392535, 1394643, 1392539, 1742052, 1392534, 1359835]"
"CBN-PdlC-A1-20200812","[1392608, 1395807, 1412857, 1742052, 1394643, 1392558, 1394540, 1392611, 1742053]"
"CBN-PdlC-A2-20130807","[1395807, 1412857, 1394911, 1394910, 1392535, 1394643, 1392539, 1741808, 1397500]"
"CBN-PdlC-A2-20130903","[1395807, 1394643, 1393200, 1392539, 1392608, 1392535, 1388793, 1412857, 1389929]"
"CBN-PdlC-A2-20140721","[1395807, 1412857, 1392535, 1392539, 1394911, 1394643, 1394910, 1519650, 1392558]"
"CBN-PdlC-A2-20140901","[1395807, 1412857, 1392535, 1389929, 1394643, 1392539, 1388793, 1359835, 1742052]"
"CBN-PdlC-A2-20150720","[1395807, 1412857, 1392535, 1394910, 1394643, 1392608, 1394911, 1392539, 1392558]"
"CBN-PdlC-A2-20150810","[1395807, 1412857, 1394643, 1392539, 1392535, 1393200, 1392608, 1394910, 1394911]"
"CBN-PdlC-A2-20150831","[1395807, 1412857, 1392535, 1394643, 1394910, 1393200, 1392608, 1392558, 1742052]"
"CBN-PdlC-A2-20160705","[1395807, 1393200, 1394911, 1412857, 1392535, 1394643, 1397535, 1392539, 1392608]"
"CBN-PdlC-A2-20160726","[1395807, 1393200, 1412857, 1392535, 1392539, 1394910, 1388793, 1394911, 1392608]"
"CBN-PdlC-A2-20170816","[1395807, 1412857, 1393200, 1392535, 1394643, 1392539, 1394910, 1392608, 1395870]"
"CBN-PdlC-A2-20180702","[1395807, 1394911, 1394643, 1397535, 1392535, 1393200, 1394910, 1392534, 1412857]"
"CBN-PdlC-A2-20180723","[1395807, 1393200, 1392539, 1394643, 1392535, 1388793, 1392608, 1394911, 1394910]"
"CBN-PdlC-A2-20180815","[1395807, 1412857, 1393200, 1392608, 1392558, 1394542, 1394910, 1359835, 1392539]"
"CBN-PdlC-A2-20180905","[1395807, 1412857, 1392558, 1392535, 1389929, 1394910, 1392608, 1394643, 1392323]"
"CBN-PdlC-A2-20190701","[1395807, 1394911, 1393200, 1392608, 1392535, 1392534, 1397500, 1394910, 1397535]"
"CBN-PdlC-A2-20190722","[1395807, 1412857, 1393200, 1394643, 1392539, 1392534, 1359835, 1392558, 1392608]"
"CBN-PdlC-A2-20190812","[1395807, 1412857, 1394643, 1392608, 1394910, 1742052, 1392558, 1359835, 1393200]"
"CBN-PdlC-A2-20190909","[1395807, 1412857, 1394643, 1394910, 1359835, 1392539, 1392535, 1392608, 1392558]"
"CBN-PdlC-A2-20200629","[1360299, 1392323, 1664563, 1395807, 1390880, 1394613, 1356355, 1392608, 1390933]"
"CBN-PdlC-A2-20200722","[1395807, 1412857, 1392539, 1392535, 1394643, 1392608, 1392558, 1393200, 1394910]"
"CBN-PdlC-A2-20200812","[1395807, 1412857, 1394910, 1392608, 1742053, 1392558, 1393200, 1394643, 1742052]"
"CBN-PdlC-A3-20130807","[1395807, 1392608, 1394643, 1412857, 1392535, 1397535, 1392534, 1394911, 1395870]"
"CBN-PdlC-A3-20130903","[1395807, 1392608, 1394643, 1412857, 1393200, 1392535, 1397535, 1392539, 1397500]"
"CBN-PdlC-A3-20140721","[1392608, 1395807, 1393200, 1412857, 1394643, 1392539, 1397500, 1392558, 1397535]"
"CBN-PdlC-A3-20140811","[1395807, 1392608, 1412857, 1394643, 1392539, 1393200, 1392535, 1395870, 1392558]"
"CBN-PdlC-A3-20140901","[1392608, 1412857, 1395807, 1394643, 1392539, 1393200, 1392558, 1389929, 1397535]"
"CBN-PdlC-A3-20150701","[1392608, 1395807, 1394643, 1412857, 1393200, 1392539, 1394911, 1397535, 1397500]"
"CBN-PdlC-A3-20150720","[1392608, 1395807, 1412857, 1394643, 1742052, 1394911, 1392558, 1393200, 1519650]"
"CBN-PdlC-A3-20150810","[1412857, 1392608, 1395807, 1394643, 1392539, 1393200, 1395870, 1392535, 1394911]"
"CBN-PdlC-A3-20150831","[1412857, 1392608, 1394643, 1395807, 1392558, 1742052, 1393200, 1392539, 1519650]"
"CBN-PdlC-A3-20160705","[1392608, 1412857, 1393200, 1395807, 1394911, 1397535, 1392558, 1394643, 1392535]"
"CBN-PdlC-A3-20160726","[1395807, 1412857, 1392608, 1393200, 1394643, 1392558, 1392535, 1392539, 1397535]"
"CBN-PdlC-A3-20170816","[1412857, 1395807, 1394643, 1392608, 1392539, 1393200, 1392558, 1392535, 1737507]"
"CBN-PdlC-A3-20170906","[1412857, 1395807, 1392608, 1394643, 1393200, 1392558, 1394366, 1742053, 1397535]"
"CBN-PdlC-A3-20180702","[1394643, 1393200, 1392534, 1395807, 1397535, 1392535, 1392608, 1412857, 1394911]"
