"quadrat_id","species_ids"
"2024-CEV3-20240602","[1360187, 1362443, 1395045, 1360203, 1392059]"
"CBN-PdlC-A1-20130807","[1395807, 1392608, 1394911, 1412857, 1394643]"
"CBN-PdlC-A1-20130903","[1392608, 1395807, 1412857, 1394643, 1392539]"
"CBN-PdlC-A1-20140721","[1392608, 1395807, 1412857, 1394911, 1392535]"
"CBN-PdlC-A1-20140811","[1395807, 1392608, 1412857, 1392539, 1394911]"
"CBN-PdlC-A1-20140901","[1392608, 1394643, 1395807, 1412857, 1392539]"
"CBN-PdlC-A1-20150701","[1392608, 1395807, 1394911, 1392535, 1394643]"
"CBN-PdlC-A1-20150720","[1392608, 1395807, 1412857, 1392535, 1394643]"
"CBN-PdlC-A1-20150831","[1392608, 1412857, 1395807, 1394643, 1742052]"
"CBN-PdlC-A1-20160705","[1392608, 1394911, 1412857, 1395807, 1394643]"
"CBN-PdlC-A1-20160726","[1392608, 1395807, 1412857, 1392535, 1394643]"
"CBN-PdlC-A1-20170816","[1392608, 1412857, 1395807, 1394643, 1742052]"
"CBN-PdlC-A1-20170906","[1392608, 1412857, 1395807, 1394643, 1392535]"
"CBN-PdlC-A1-20180702","[1392608, 1394911, 1395807, 1664563, 1397535]"
"CBN-PdlC-A1-20180815","[1392608, 1412857, 1395807, 1359835, 1392558]"
"CBN-PdlC-A1-20180905","[1392608, 1412857, 1395807, 1392558, 1360299]"
"CBN-PdlC-A1-20190701","[1392608, 1394911, 1395807, 1392535, 1394910]"
"CBN-PdlC-A1-20190722","[1392608, 1395807, 1742052, 1412857, 1394540]"
"CBN-PdlC-A1-20190812","[1392608, 1395807, 1412857, 1742052, 1394643]"
"CBN-PdlC-A1-20190909","[1392608, 1395807, 1412857, 1742052, 1394311]"
"CBN-PdlC-A1-20200629","[1390539, 1390933, 1390880, 1394613, 1390760]"
"CBN-PdlC-A1-20200722","[1392608, 1395807, 1412857, 1392535, 1394643]"
"CBN-PdlC-A1-20200812","[1392608, 1395807, 1412857, 1742052, 1394643]"
"CBN-PdlC-A2-20130807","[1395807, 1412857, 1394911, 1394910, 1392535]"
"CBN-PdlC-A2-20130903","[1395807, 1394643, 1393200, 1392539, 1392608]"
"CBN-PdlC-A2-20140721","[1395807, 1412857, 1392535, 1392539, 1394911]"
"CBN-PdlC-A2-20140901","[1395807, 1412857, 1392535, 1389929, 1394643]"
"CBN-PdlC-A2-20150720","[1395807, 1412857, 1392535, 1394910, 1394643]"
"CBN-PdlC-A2-20150810","[1395807, 1412857, 1394643, 1392539, 1392535]"
"CBN-PdlC-A2-20150831","[1395807, 1412857, 1392535, 1394643, 1394910]"
"CBN-PdlC-A2-20160705","[1395807, 1393200, 1394911, 1412857, 1392535]"
"CBN-PdlC-A2-20160726","[1395807, 1393200, 1412857, 1392535, 1392539]"
"CBN-PdlC-A2-20170816","[1395807, 1412857, 1393200, 1392535, 1394643]"
"CBN-PdlC-A2-20180702","[1395807, 1394911, 1394643, 1397535, 1392535]"
"CBN-PdlC-A2-20180723","[1395807, 1393200, 1392539, 1394643, 1392535]"
"CBN-PdlC-A2-20180815","[1395807, 1412857, 1393200, 1392608, 1392558]"
"CBN-PdlC-A2-20180905","[1395807, 1412857, 1392558, 1392535, 1389929]"
"CBN-PdlC-A2-20190701","[1395807, 1394911, 1393200, 1392608, 1392535]"
"CBN-PdlC-A2-20190722","[1395807, 1412857, 1393200, 1394643, 1392539]"
"CBN-PdlC-A2-20190812","[1395807, 1412857, 1394643, 1392608, 1394910]"
"CBN-PdlC-A2-20190909","[1395807, 1412857, 1394643, 1394910, 1359835]"
"CBN-PdlC-A2-20200629","[1360299, 1392323, 1664563, 1395807, 1390880]"
"CBN-PdlC-A2-20200722","[1395807, 1412857, 1392539, 1392535, 1394643]"
"CBN-PdlC-A2-20200812","[1395807, 1412857, 1394910, 1392608, 1742053]"
"CBN-PdlC-A3-20130807","[1395807, 1392608, 1394643, 1412857, 1392535]"
"CBN-PdlC-A3-20130903","[1395807, 1392608, 1394643, 1412857, 1393200]"
"CBN-PdlC-A3-20140721","[1392608, 1395807, 1393200, 1412857, 1394643]"
"CBN-PdlC-A3-20140811","[1395807, 1392608, 1412857, 1394643, 1392539]"
"CBN-PdlC-A3-20140901","[1392608, 1412857, 1395807, 1394643, 1392539]"
"CBN-PdlC-A3-20150701","[1392608, 1395807, 1394643, 1412857, 1393200]"
"CBN-PdlC-A3-20150720","[1392608, 1395807, 1412857, 1394643, 1742052]"
"CBN-PdlC-A3-20150810","[1412857, 1392608, 1395807, 1394643, 1392539]"
"CBN-PdlC-A3-20150831","[1412857, 1392608, 1394643, 1395807, 1392558]"
"CBN-PdlC-A3-20160705","[1392608, 1412857, 1393200, 1395807, 1394911]"
"CBN-PdlC-A3-20160726","[1395807, 1412857, 1392608, 1393200, 1394643]"
"CBN-PdlC-A3-20170816","[1412857, 1395807, 1394643, 1392608, 1392539]"
"CBN-PdlC-A3-20170906","[1412857, 1395807, 1392608, 1394643, 1393200]"
"CBN-PdlC-A3-20180702","[1394643, 1393200, 1392534, 1395807, 1397535]"
"CBN-PdlC-A3-20180723","[1392608, 1392539, 1395807, 1394643, 1393200]"
"CBN-PdlC-A3-20180815","[1412857, 1394643, 1392608, 1395807, 1393200]"
"CBN-PdlC-A3-20180905","[1412857, 1395807, 1392558, 1392608, 1394643]"
"CBN-PdlC-A3-20190701","[1392534, 1393200, 1397535, 1392535, 1395807]"
"CBN-PdlC-A3-20190722","[1392608, 1395807, 1412857, 1393200, 1394643]"
"CBN-PdlC-A3-20190812","[1395807, 1392608, 1412857, 1393200, 1394643]"
"CBN-PdlC-A3-20190909","[1395807, 1412857, 1392608, 1394643, 1359835]"
"CBN-PdlC-A3-20200629","[1395990, 1390760, 1390933, 1392323, 1394613]"
"CBN-PdlC-A3-20200722","[1392608, 1412857, 1395807, 1393200, 1394643]"
"CBN-PdlC-A3-20200812","[1412857, 1392608, 1395807, 1393200, 1392539]"
"CBN-PdlC-A4-20130807","[1395807, 1392608, 1397475, 1393200, 1392534]"
"CBN-PdlC-A4-20130903","[1392608, 1393200, 1395807, 1397475, 1397535]"
"CBN-PdlC-A4-20140811","[1392608, 1393200, 1395807, 1397475, 1412857]"
"CBN-PdlC-A4-20140901","[1392608, 1397475, 1393200, 1395807, 1359835]"
"CBN-PdlC-A4-20150701","[1392608, 1393200, 1395807, 1397475, 1394911]"
"CBN-PdlC-A4-20150810","[1392608, 1393200, 1397475, 1395807, 1392539]"
"CBN-PdlC-A4-20150831","[1392608, 1397475, 1393200, 1395807, 1392558]"
"CBN-PdlC-A4-20160705","[1393200, 1392608, 1397475, 1397535, 1395807]"
"CBN-PdlC-A4-20160726","[1392608, 1393200, 1397475, 1395807, 1392611]"
"CBN-PdlC-A4-20170816","[1392608, 1397475, 1395807, 1393200, 1392558]"
"CBN-PdlC-A4-20170906","[1392608, 1397475, 1393200, 1395807, 1392558]"
"CBN-PdlC-A4-20180702","[1397475, 1393200, 1392608, 1392534, 1397500]"
"CBN-PdlC-A4-20180723","[1392608, 1393200, 1395807, 1392539, 1392535]"
"CBN-PdlC-A4-20180815","[1397475, 1393200, 1392608, 1395807, 1505431]"
"CBN-PdlC-A4-20180905","[1397475, 1393200, 1392608, 1392558, 1395807]"
"CBN-PdlC-A4-20190701","[1397475, 1393200, 1392608, 1394911, 1397500]"
"CBN-PdlC-A4-20190722","[1397475, 1392608, 1393200, 1741903, 1395190]"
"CBN-PdlC-A4-20190812","[1397475, 1392608, 1395190, 1393200, 1392611]"
"CBN-PdlC-A4-20190909","[1397475, 1392608, 1393200, 1395807, 1392539]"
"CBN-PdlC-A4-20200629","[1397475, 1392608, 1393200, 1395190, 1361281]"
"CBN-PdlC-A4-20200722","[1397475, 1393200, 1392608, 1395807, 1392539]"
"CBN-PdlC-A4-20200812","[1397475, 1393200, 1392608, 1395807, 1392535]"
"CBN-PdlC-A5-20130807","[1395807, 1397475, 1395870, 1397535, 1394911]"
"CBN-PdlC-A5-20130903","[1395807, 1359835, 1395870, 1362396, 1389929]"
"CBN-PdlC-A5-20140721","[1395807, 1397475, 1394911, 1392535, 1395870]"
"CBN-PdlC-A5-20140811","[1395807, 1395870, 1359835, 1393660, 1392558]"
"CBN-PdlC-A5-20150701","[1395807, 1394911, 1392535, 1392539, 1395870]"
"CBN-PdlC-A5-20150831","[1395807, 1397475, 1395870, 1392535, 1359835]"
"CBN-PdlC-A5-20160705","[1397475, 1395807, 1394911, 1397535, 1392535]"
"CBN-PdlC-A5-20160726","[1395807, 1397475, 1359835, 1392558, 1392535]"
"CBN-PdlC-A5-20170816","[1397475, 1395807, 1359835, 1395990, 1392558]"
"CBN-PdlC-A5-20170906","[1395807, 1359835, 1397475, 1392558, 1412857]"
"CBN-PdlC-A5-20180815","[1395807, 1397475, 1393200, 1392539, 1388793]"
"CBN-PdlC-A5-20180905","[1395807, 1397475, 1359835, 1392558, 1396253]"
"CBN-PdlC-A5-20190909","[1397475, 1359835, 1395807, 1394540, 1390764]"
"CBN-PdlC-A5-20200722","[1395807, 1393200, 1393679, 1395870, 1397475]"
"CBN-PdlC-A6-20130807","[1397475, 1395807, 1395190, 1393200, 1395870]"
"CBN-PdlC-A6-20130903","[1397475, 1395807, 1395190, 1389929, 1741661]"
"CBN-PdlC-A6-20140630","[1397475, 1395805, 1395870, 1392608, 1395807]"
"CBN-PdlC-A6-20140721","[1397475, 1395807, 1395190, 1393200, 1395870]"
"CBN-PdlC-A6-20140901","[1397475, 1389929, 1395190, 1741661, 1395807]"
"CBN-PdlC-A6-20150701","[1397475, 1395807, 1393200, 1395870, 1395190]"
"CBN-PdlC-A6-20150810","[1397475, 1395807, 1395190, 1395870, 1390674]"
"CBN-PdlC-A6-20150831","[1397475, 1395807, 1395870, 1395190, 1741903]"
"CBN-PdlC-A6-20160705","[1397475, 1395807, 1395190, 1393200, 1395870]"
"CBN-PdlC-A6-20160726","[1397475, 1395807, 1395190, 1741661, 1393200]"
"CBN-PdlC-A6-20170816","[1397475, 1395807, 1741661, 1391412, 1741903]"
"CBN-PdlC-A6-20170906","[1397475, 1395807, 1395190, 1395870, 1393200]"
"CBN-PdlC-A6-20180702","[1397475, 1393200, 1395190, 1397535, 1397500]"
"CBN-PdlC-A6-20180723","[1397475, 1393200, 1395807, 1395190, 1395870]"
"CBN-PdlC-A6-20180815","[1397475, 1393200, 1389929, 1395805, 1420558]"
"CBN-PdlC-A6-20180905","[1397475, 1741903, 1395807, 1395190, 1741661]"
"CBN-PdlC-A6-20190701","[1397475, 1393200, 1395807, 1395805, 1397500]"
"CBN-PdlC-A6-20190722","[1397475, 1395807, 1393200, 1395190, 1395870]"
"CBN-PdlC-A6-20190812","[1397475, 1395807, 1393200, 1741903, 1360591]"
"CBN-PdlC-A6-20190909","[1397475, 1359835, 1741661, 1395805, 1392558]"
"CBN-PdlC-A6-20200722","[1397475, 1395807, 1393200, 1395870, 1395190]"
"CBN-PdlC-A6-20200812","[1397475, 1395807, 1393200, 1395870, 1395190]"
"CBN-PdlC-B1-20130807","[1392608, 1395807, 1393200, 1412857, 1394643]"
"CBN-PdlC-B1-20130903","[1392608, 1395807, 1393200, 1360299, 1394643]"
"CBN-PdlC-B1-20140721","[1392608, 1395807, 1393200, 1360299, 1392611]"
"CBN-PdlC-B1-20140811","[1392608, 1395807, 1393200, 1412857, 1392539]"
"CBN-PdlC-B1-20140901","[1392608, 1393200, 1395807, 1412857, 1394643]"
"CBN-PdlC-B1-20150701","[1392608, 1395807, 1393200, 1394643, 1394911]"
"CBN-PdlC-B1-20150720","[1392608, 1395807, 1412857, 1394643, 1392611]"
"CBN-PdlC-B1-20150810","[1392608, 1395807, 1412857, 1393200, 1394643]"
"CBN-PdlC-B1-20150831","[1392608, 1395807, 1412857, 1392611, 1390793]"
"CBN-PdlC-B1-20160705","[1392608, 1393200, 1412857, 1394643, 1395807]"
"CBN-PdlC-B1-20160726","[1392608, 1395807, 1412857, 1393200, 1392612]"
"CBN-PdlC-B1-20170816","[1392608, 1395807, 1412857, 1393200, 1394643]"
"CBN-PdlC-B1-20170906","[1392608, 1412857, 1395807, 1394643, 1392611]"
"CBN-PdlC-B1-20180702","[1392608, 1395807, 1394643, 1737507, 1360299]"
"CBN-PdlC-B1-20180723","[1392608, 1395807, 1394643, 1412857, 1393200]"
"CBN-PdlC-B1-20180815","[1392608, 1395807, 1412857, 1360299, 1392611]"
"CBN-PdlC-B1-20180905","[1392608, 1412857, 1393200, 1392611, 1392558]"
"CBN-PdlC-B1-20190701","[1392608, 1393200, 1737507, 1394643, 1397500]"
"CBN-PdlC-B1-20190722","[1392608, 1395807, 1412857, 1394643, 1392611]"
"CBN-PdlC-B1-20190812","[1392608, 1412857, 1392611, 1395807, 1360299]"
"CBN-PdlC-B1-20190909","[1392608, 1395807, 1412857, 1360299, 1393200]"
"CBN-PdlC-B1-20200629","[1392608, 1360299, 1664563, 1395807, 1393200]"
"CBN-PdlC-B1-20200722","[1392608, 1395807, 1412857, 1393200, 1394643]"
"CBN-PdlC-B1-20200812","[1392608, 1395807, 1392611, 1412857, 1360299]"
"CBN-PdlC-B2-20130807","[1392608, 1395807, 1392535, 1392539, 1360299]"
"CBN-PdlC-B2-20130903","[1392608, 1360299, 1392535, 1392612, 1395807]"
"CBN-PdlC-B2-20140721","[1392608, 1360299, 1392535, 1392611, 1392612]"
"CBN-PdlC-B2-20140811","[1392608, 1395807, 1392539, 1392535, 1392611]"
"CBN-PdlC-B2-20140901","[1392608, 1395807, 1392535, 1392539, 1360299]"
"CBN-PdlC-B2-20150701","[1392608, 1392539, 1392535, 1395807, 1388793]"
"CBN-PdlC-B2-20150720","[1392608, 1395807, 1392535, 1360299, 1392611]"
"CBN-PdlC-B2-20150810","[1392608, 1395807, 1392535, 1392539, 1360299]"
"CBN-PdlC-B2-20150831","[1392608, 1395807, 1392535, 1519650, 1392611]"
"CBN-PdlC-B2-20160705","[1392608, 1392535, 1395807, 1397535, 1394911]"
"CBN-PdlC-B2-20160726","[1392608, 1395807, 1392535, 1392539, 1412857]"
"CBN-PdlC-B2-20170816","[1392608, 1395807, 1392535, 1389929, 1392539]"
"CBN-PdlC-B2-20170906","[1392608, 1395807, 1392535, 1392323, 1392611]"
"CBN-PdlC-B2-20180702","[1392608, 1395807, 1392535, 1397535, 1392534]"
"CBN-PdlC-B2-20180723","[1392608, 1395807, 1392535, 1392539, 1388793]"
"CBN-PdlC-B2-20180815","[1392608, 1395807, 1392535, 1360299, 1412857]"
"CBN-PdlC-B2-20180905","[1392608, 1392535, 1395807, 1392539, 1395870]"
"CBN-PdlC-B2-20190701","[1392608, 1392535, 1395807, 1388793, 1392539]"
"CBN-PdlC-B2-20190722","[1392608, 1395807, 1392535, 1392539, 1395870]"
"CBN-PdlC-B2-20190812","[1392608, 1395807, 1392323, 1392535, 1360299]"
"CBN-PdlC-B2-20190909","[1392608, 1395807, 1392535, 1389929, 1360299]"
"CBN-PdlC-B2-20200629","[1390880, 1395807, 1720959, 1395990, 1395870]"
"CBN-PdlC-B2-20200722","[1392608, 1395807, 1392611, 1392535, 1392539]"
"CBN-PdlC-B2-20200812","[1392608, 1395807, 1392611, 1720959, 1360299]"
"CBN-PdlC-B3-20130807","[1395807, 1392535, 1394911, 1397535, 1394643]"
"CBN-PdlC-B3-20130903","[1395807, 1392535, 1393200, 1392539, 1394643]"
"CBN-PdlC-B3-20140721","[1395807, 1394911, 1392539, 1397535, 1392535]"
"CBN-PdlC-B3-20140811","[1395807, 1392539, 1412857, 1394643, 1392535]"
"CBN-PdlC-B3-20140901","[1395807, 1392535, 1412857, 1392539, 1392534]"
"CBN-PdlC-B3-20150701","[1395807, 1394911, 1397535, 1392535, 1392534]"
