"quadrat_id","species_ids"
"2024-CEV3-20240602","[1362443, 1360187, 1392059, 1356275, 1363328, 1361284, 1395045, 1363993, 1360203]"
"CBN-PdlC-A1-20130807","[1395807, 1392608, 1394911, 1412857, 1394643, 1392535, 1392539, 1394910, 1393200]"
"CBN-PdlC-A1-20130903","[1392608, 1395807, 1394643, 1412857, 1392539, 1393200, 1395862, 1394910, 1394911]"
"CBN-PdlC-A1-20140721","[1395807, 1392608, 1412857, 1394911, 1394643, 1392535, 1392539, 1392534, 1397535]"
"CBN-PdlC-A1-20140811","[1395807, 1392608, 1412857, 1392539, 1394643, 1394911, 1392535, 1395870, 1519650]"
"CBN-PdlC-A1-20140901","[1392608, 1395807, 1394643, 1412857, 1392539, 1361281, 1392535, 1389929, 1388793]"
"CBN-PdlC-A1-20150701","[1392608, 1395807, 1394911, 1394643, 1392539, 1392535, 1412857, 1397535, 1392534]"
"CBN-PdlC-A1-20150720","[1392608, 1395807, 1412857, 1394643, 1394911, 1392535, 1392539, 1392534, 1742052]"
"CBN-PdlC-A1-20150831","[1392608, 1395807, 1412857, 1394643, 1742052, 1392535, 1394911, 1390793, 1392558]"
"CBN-PdlC-A1-20160705","[1392608, 1395807, 1412857, 1394911, 1394643, 1392535, 1392539, 1397535, 1360299]"
"CBN-PdlC-A1-20160726","[1392608, 1395807, 1412857, 1394643, 1392539, 1392535, 1394911, 1392534, 1742052]"
"CBN-PdlC-A1-20170816","[1392608, 1395807, 1412857, 1394643, 1392535, 1392539, 1742052, 1392534, 1389929]"
"CBN-PdlC-A1-20170906","[1392608, 1395807, 1412857, 1394643, 1392535, 1392558, 1394911, 1392534, 1392539]"
"CBN-PdlC-A1-20180702","[1392608, 1395807, 1394911, 1394643, 1392534, 1664563, 1412857, 1394910, 1397535]"
"CBN-PdlC-A1-20180815","[1395807, 1392608, 1412857, 1392558, 1394643, 1359835, 1395862, 1392539, 1394911]"
