"quadrat_id","species_ids"
"2024-CEV3-20240602","[1360187, 1356275, 1362443, 1392059, 1361284, 1360203, 1391596, 1361574, 1359835, 1400181, 1395114, 1395045, 1450109, 1361914, 1360222]"
"CBN-PdlC-A1-20130807","[1395807, 1392608, 1394911, 1394643, 1412857, 1392539, 1392535, 1737507, 1392534, 1394910, 1397535, 1360299, 1741808, 1392558, 1397500]"
"CBN-PdlC-A1-20130903","[1395807, 1392608, 1394643, 1412857, 1392539, 1393200, 1394910, 1395862, 1360299, 1390793, 1388793, 1397535, 1742052, 1389929, 1394542]"
"CBN-PdlC-A1-20140721","[1395807, 1392608, 1412857, 1394643, 1394911, 1392539, 1392535, 1392534, 1392323, 1664563, 1397535, 1392558, 1360299, 1519650, 1361281]"
"CBN-PdlC-A1-20140811","[1395807, 1392608, 1412857, 1394643, 1392539, 1394911, 1395870, 1519650, 1392535, 1360299, 1742052, 1392323, 1394910, 1388793, 1390793]"
"CBN-PdlC-A1-20140901","[1395807, 1392608, 1394643, 1392539, 1412857, 1360299, 1361281, 1389929, 1392535, 1388793, 1742052, 1392534, 1398471, 1394910, 1390793]"
"CBN-PdlC-A1-20150701","[1395807, 1392608, 1394911, 1392539, 1394643, 1412857, 1392535, 1397535, 1393200, 1360299, 1394910, 1392534, 1395862, 1742052, 1741880]"
"CBN-PdlC-A1-20150720","[1395807, 1392608, 1394643, 1412857, 1394911, 1392535, 1392539, 1392534, 1395870, 1742052, 1392612, 1361281, 1359835, 1519650, 1394641]"
"CBN-PdlC-A1-20150831","[1395807, 1392608, 1412857, 1394643, 1392535, 1394911, 1742052, 1361281, 1390793, 1392558, 1360299, 1519650, 1394641, 1395870, 1397497]"
"CBN-PdlC-A1-20160705","[1395807, 1392608, 1412857, 1394911, 1394643, 1392535, 1397535, 1392323, 1392558, 1392539, 1392534, 1394910, 1360299, 1361281, 1664563]"
"CBN-PdlC-A1-20160726","[1395807, 1392608, 1412857, 1392539, 1394643, 1394911, 1392534, 1392535, 1742052, 1519650, 1360299, 1389929, 1360269, 1392558, 1388793]"
"CBN-PdlC-A1-20170816","[1395807, 1392608, 1412857, 1394643, 1392534, 1392539, 1395862, 1392535, 1389929, 1742052, 1394911, 1394641, 1398471, 1360299, 1388793]"
"CBN-PdlC-A1-20170906","[1395807, 1392608, 1412857, 1394643, 1392558, 1394911, 1742052, 1392535, 1360299, 1519650, 1392534, 1392612, 1397497, 1359835, 1392323]"
"CBN-PdlC-A1-20180702","[1395807, 1392608, 1394911, 1412857, 1392534, 1394643, 1394910, 1664563, 1395862, 1397535, 1361281, 1392558, 1737507, 1392535, 1361389]"
"CBN-PdlC-A1-20180815","[1395807, 1392608, 1412857, 1394643, 1392558, 1359835, 1395862, 1360299, 1392539, 1394911, 1398471, 1361281, 1392534, 1394910, 1392612]"
"CBN-PdlC-A1-20180905","[1395807, 1392608, 1412857, 1394643, 1392558, 1392535, 1361281, 1360299, 1359835, 1392323, 1742052, 1394910, 1519650, 1395862, 1390793]"
"CBN-PdlC-A1-20190701","[1392608, 1394911, 1394910, 1392535, 1394643, 1392539, 1397535, 1392534, 1397500, 1389929, 1737507, 1741808, 1664563, 1556096, 1388793]"
"CBN-PdlC-A1-20190722","[1395807, 1392608, 1412857, 1395870, 1394643, 1742052, 1359835, 1392558, 1394540, 1392612, 1361281, 1396869, 1394910, 1397500, 1394542]"
"CBN-PdlC-A1-20190812","[1395807, 1392608, 1412857, 1394643, 1392558, 1742052, 1359835, 1392539, 1519650, 1395870, 1360299, 1394540, 1390764, 1392611, 1394641]"
"CBN-PdlC-A1-20190909","[1395807, 1392608, 1412857, 1394643, 1392539, 1389929, 1390793, 1742052, 1392558, 1360299, 1395862, 1394311, 1359835, 1398471, 1392612]"
"CBN-PdlC-A1-20200629","[1390880, 1394613, 1741808, 1390539, 1392558, 1384482, 1389929, 1391412, 1396416, 1389603, 1390760, 1395990, 1395942, 1361820, 1361914]"
"CBN-PdlC-A1-20200722","[1395807, 1392608, 1394643, 1392539, 1412857, 1359835, 1392534, 1360299, 1392535, 1395870, 1742052, 1392612, 1362396, 1395862, 1397123]"
"CBN-PdlC-A1-20200812","[1395807, 1392608, 1412857, 1394643, 1392558, 1359835, 1742052, 1360299, 1392534, 1394540, 1395862, 1519650, 1392535, 1392612, 1394641]"
"CBN-PdlC-A2-20130807","[1395807, 1394911, 1412857, 1394910, 1394643, 1392539, 1392535, 1393200, 1741808, 1397500, 1395870, 1392323, 1392558, 1390639, 1397535]"
"CBN-PdlC-A2-20130903","[1395807, 1394643, 1392608, 1393200, 1394910, 1392539, 1412857, 1394911, 1388793, 1389929, 1392535, 1394542, 1741808, 1397500, 1413421]"
"CBN-PdlC-A2-20140721","[1395807, 1412857, 1392539, 1394911, 1394643, 1394910, 1392608, 1392535, 1392558, 1519650, 1388793, 1393200, 1397535, 1393679, 1741808]"
"CBN-PdlC-A2-20140901","[1395807, 1392539, 1394643, 1412857, 1394911, 1389929, 1392535, 1394910, 1388793, 1392534, 1359835, 1647128, 1392553, 1742052, 1392558]"
"CBN-PdlC-A2-20150720","[1395807, 1412857, 1394643, 1394910, 1395870, 1394911, 1392535, 1393200, 1392558, 1397500, 1388793, 1742052, 1389929, 1394540, 1359835]"
"CBN-PdlC-A2-20150810","[1395807, 1412857, 1394643, 1392608, 1392539, 1393200, 1394910, 1395870, 1359835, 1394911, 1392535, 1388793, 1392558, 1392323, 1519650]"
"CBN-PdlC-A2-20150831","[1395807, 1412857, 1394643, 1392608, 1394910, 1393200, 1392535, 1392558, 1394911, 1394542, 1395870, 1742052, 1519650, 1392534, 1388793]"
"CBN-PdlC-A2-20160705","[1395807, 1392608, 1412857, 1394911, 1394643, 1393200, 1392558, 1397535, 1392535, 1392539, 1392323, 1394910, 1392534, 1519650, 1395862]"
"CBN-PdlC-A2-20160726","[1395807, 1412857, 1392539, 1393200, 1395870, 1394911, 1394910, 1392608, 1392534, 1392535, 1395862, 1397500, 1388793, 1362396, 1395868]"
"CBN-PdlC-A2-20170816","[1395807, 1412857, 1392608, 1394643, 1392539, 1394910, 1395870, 1393200, 1392558, 1395862, 1392535, 1394911, 1388793, 1389929, 1395868]"
"CBN-PdlC-A2-20180702","[1395807, 1394643, 1394911, 1392608, 1394910, 1392534, 1397535, 1393200, 1412857, 1392558, 1392535, 1737507, 1664563, 1519650, 1388793]"
"CBN-PdlC-A2-20180723","[1395807, 1392539, 1393200, 1394643, 1392608, 1394911, 1394910, 1412857, 1392535, 1388793, 1395862, 1389929, 1647128, 1397500, 1741880]"
"CBN-PdlC-A2-20180815","[1395807, 1392608, 1412857, 1392558, 1394910, 1394643, 1359835, 1393200, 1394542, 1392539, 1392323, 1392535, 1395870, 1395862, 1394911]"
"CBN-PdlC-A2-20180905","[1395807, 1412857, 1392608, 1392558, 1394910, 1359835, 1394643, 1394911, 1392323, 1389929, 1392539, 1395862, 1395870, 1392535, 1519650]"
"CBN-PdlC-A2-20190701","[1395807, 1392608, 1393200, 1394911, 1392534, 1394910, 1397500, 1392539, 1392535, 1392323, 1397535, 1394643, 1389929, 1737701, 1741808]"
"CBN-PdlC-A2-20190722","[1395807, 1412857, 1394643, 1392539, 1392534, 1394910, 1392558, 1393200, 1359835, 1392535, 1392323, 1395870, 1397123, 1397500, 1742052]"
"CBN-PdlC-A2-20190812","[1395807, 1392608, 1412857, 1394643, 1394910, 1393200, 1392558, 1359835, 1389929, 1742052, 1394542, 1396825, 1388793, 1392323, 1362396]"
"CBN-PdlC-A2-20190909","[1395807, 1412857, 1392608, 1394643, 1392539, 1395862, 1395870, 1394910, 1359835, 1392558, 1395868, 1389929, 1394641, 1737701, 1392535]"
"CBN-PdlC-A2-20200629","[1392608, 1392323, 1390880, 1394613, 1664563, 1360299, 1741808, 1395990, 1390764, 1392558, 1394910, 1395942, 1413421, 1720959, 1737693]"
"CBN-PdlC-A2-20200722","[1395807, 1392539, 1412857, 1394643, 1392608, 1394910, 1395870, 1393200, 1392534, 1392535, 1360269, 1392558, 1359835, 1397123, 1362396]"
"CBN-PdlC-A2-20200812","[1395807, 1392608, 1412857, 1394910, 1392558, 1394643, 1393200, 1359835, 1392539, 1395862, 1394542, 1361281, 1394366, 1519650, 1388793]"
"CBN-PdlC-A3-20130807","[1395807, 1392608, 1394643, 1412857, 1394911, 1395870, 1392534, 1397535, 1392535, 1392539, 1393200, 1392323, 1359835, 1392558, 1397500]"
"CBN-PdlC-A3-20130903","[1395807, 1392608, 1394643, 1412857, 1393200, 1392539, 1395870, 1392535, 1397535, 1395862, 1397500, 1395868, 1360269, 1394911, 1392558]"
"CBN-PdlC-A3-20140721","[1395807, 1392608, 1394643, 1393200, 1412857, 1392539, 1392558, 1397500, 1394911, 1392534, 1397535, 1394910, 1360299, 1392612, 1550182]"
"CBN-PdlC-A3-20140811","[1395807, 1392608, 1412857, 1394643, 1392539, 1393200, 1395870, 1359835, 1392534, 1394911, 1392535, 1392612, 1737507, 1393619, 1392558]"
"CBN-PdlC-A3-20140901","[1395807, 1392608, 1394643, 1412857, 1392539, 1393200, 1392558, 1389929, 1394910, 1360299, 1397535, 1737507, 1359835, 1392535, 1392612]"
"CBN-PdlC-A3-20150701","[1395807, 1392608, 1394643, 1392539, 1393200, 1412857, 1394911, 1397535, 1397500, 1392535, 1392534, 1737507, 1394910, 1388793, 1392612]"
"CBN-PdlC-A3-20150720","[1395807, 1392608, 1412857, 1394643, 1393200, 1394911, 1392558, 1395870, 1742052, 1359835, 1394910, 1737507, 1392612, 1390639, 1392539]"
"CBN-PdlC-A3-20150810","[1395807, 1392608, 1412857, 1394643, 1392539, 1393200, 1394911, 1395870, 1392558, 1392535, 1397500, 1737507, 1505431, 1742052, 1394910]"
"CBN-PdlC-A3-20150831","[1395807, 1392608, 1412857, 1394643, 1392558, 1392539, 1393200, 1742052, 1394910, 1394641, 1390793, 1394911, 1392535, 1519650, 1394540]"
"CBN-PdlC-A3-20160705","[1395807, 1392608, 1412857, 1394643, 1393200, 1394911, 1392558, 1397535, 1392323, 1395862, 1397500, 1392535, 1737507, 1737701, 1392539]"
"CBN-PdlC-A3-20160726","[1395807, 1392608, 1412857, 1394643, 1392539, 1393200, 1392558, 1397535, 1392535, 1392534, 1397500, 1395870, 1359835, 1390639, 1394911]"
"CBN-PdlC-A3-20170816","[1395807, 1392608, 1412857, 1394643, 1392539, 1393200, 1392558, 1392535, 1394641, 1397535, 1394910, 1737507, 1392534, 1359835, 1742052]"
"CBN-PdlC-A3-20170906","[1395807, 1412857, 1394643, 1392608, 1393200, 1392558, 1397535, 1395862, 1394911, 1392535, 1742053, 1742052, 1394641, 1394540, 1395870]"
"CBN-PdlC-A3-20180702","[1394643, 1392608, 1395807, 1412857, 1394911, 1392534, 1393200, 1394910, 1397535, 1392535, 1392539, 1664563, 1392323, 1397500, 1737507]"
"CBN-PdlC-A3-20180723","[1395807, 1392608, 1392539, 1394643, 1412857, 1393200, 1392535, 1397535, 1392534, 1741808, 1394911, 1550182, 1392323, 1395862, 1388793]"
"CBN-PdlC-A3-20180815","[1395807, 1392608, 1412857, 1392539, 1394643, 1393200, 1397535, 1392535, 1392558, 1388793, 1647128, 1505431, 1394540, 1389929, 1392552]"
"CBN-PdlC-A3-20180905","[1395807, 1412857, 1392608, 1394643, 1392558, 1392539, 1393200, 1392535, 1519650, 1742053, 1392534, 1394910, 1394366, 1397535, 1394641]"
"CBN-PdlC-A3-20190701","[1395807, 1393200, 1392608, 1392534, 1397535, 1394643, 1394911, 1392535, 1392539, 1392558, 1412857, 1397500, 1394910, 1741808, 1392553]"
"CBN-PdlC-A3-20190722","[1395807, 1392608, 1412857, 1394643, 1393200, 1392539, 1392558, 1395870, 1742052, 1359835, 1394641, 1394540, 1390639, 1392612, 1741808]"
"CBN-PdlC-A3-20190812","[1395807, 1392608, 1412857, 1394643, 1393200, 1359835, 1395870, 1392558, 1742052, 1357608, 1394366, 1395862, 1519650, 1397500, 1397123]"
"CBN-PdlC-A3-20190909","[1395807, 1392608, 1412857, 1394643, 1392539, 1359835, 1392558, 1742052, 1394540, 1395862, 1393200, 1519650, 1392612, 1394641, 1392568]"
"CBN-PdlC-A3-20200629","[1392323, 1394613, 1395990, 1741808, 1392558, 1394910, 1519650, 1389603, 1664563, 1390539, 1390760, 1413421, 1384482, 1396408, 1360352]"
"CBN-PdlC-A3-20200722","[1395807, 1392608, 1392539, 1394643, 1412857, 1393200, 1395870, 1392558, 1392323, 1742052, 1397535, 1394641, 1392535, 1357608, 1741808]"
"CBN-PdlC-A3-20200812","[1395807, 1392608, 1412857, 1392539, 1394643, 1393200, 1392558, 1392535, 1394910, 1359835, 1394641, 1742053, 1392612, 1550182, 1395870]"
"CBN-PdlC-A4-20130807","[1395807, 1392608, 1393200, 1397475, 1394911, 1392534, 1395870, 1397535, 1360269, 1392558, 1395190, 1392535, 1394643, 1360299, 1395868]"
"CBN-PdlC-A4-20130903","[1395807, 1392608, 1397475, 1393200, 1392539, 1394911, 1395190, 1397535, 1360299, 1397500, 1388793, 1392535, 1392558, 1392534, 1389929]"
"CBN-PdlC-A4-20140811","[1395807, 1392608, 1397475, 1393200, 1395190, 1392558, 1412857, 1397535, 1397500, 1741903, 1395870, 1390793, 1664563, 1394643, 1392611]"
"CBN-PdlC-A4-20140901","[1395807, 1392608, 1397475, 1393200, 1392558, 1359835, 1395190, 1395870, 1397500, 1360299, 1392539, 1741903, 1664563, 1647128, 1395990]"
"CBN-PdlC-A4-20150701","[1395807, 1392608, 1393200, 1397475, 1392539, 1394911, 1397500, 1397535, 1395190, 1392535, 1392612, 1388793, 1395862, 1394643, 1741880]"
