"quadrat_id","species_ids"
"2024-CEV3-20240602","[1362443, 1360187, 1356275, 1360203, 1400181, 1395045, 1363993, 1363328, 1361284, 1392059, 1738679, 1391596, 1360763, 1356066, 1363593]"
"CBN-PdlC-A1-20130807","[1395807, 1392608, 1394911, 1394643, 1412857, 1392539, 1392535, 1737507, 1741808, 1392558, 1392534, 1393200, 1397535, 1397500, 1394910]"
"CBN-PdlC-A1-20130903","[1392608, 1395807, 1412857, 1394643, 1392539, 1394910, 1394911, 1392535, 1393200, 1395862, 1388793, 1389929, 1742052, 1390793, 1394641]"
"CBN-PdlC-A1-20140721","[1395807, 1392608, 1412857, 1394911, 1394643, 1392535, 1392534, 1392539, 1392558, 1397535, 1394910, 1361281, 1392323, 1363741, 1360299]"
"CBN-PdlC-A1-20140811","[1395807, 1392608, 1412857, 1392539, 1394643, 1394911, 1651233, 1392535, 1395870, 1519650, 1742052, 1392558, 1392534, 1741880, 1397535]"
"CBN-PdlC-A1-20140901","[1392608, 1395807, 1394643, 1392539, 1412857, 1388793, 1392534, 1392535, 1394910, 1389929, 1360299, 1647128, 1392553, 1394911, 1398471]"
"CBN-PdlC-A1-20150701","[1392608, 1395807, 1394911, 1392539, 1392535, 1394643, 1412857, 1392534, 1397535, 1741880, 1394910, 1393200, 1360299, 1388793, 1395862]"
"CBN-PdlC-A1-20150720","[1395807, 1392608, 1412857, 1394911, 1392535, 1394643, 1392539, 1742052, 1395870, 1392534, 1394910, 1392558, 1361281, 1359835, 1392612]"
"CBN-PdlC-A1-20150831","[1392608, 1395807, 1412857, 1394643, 1394911, 1392535, 1392539, 1742052, 1392558, 1519650, 1361281, 1395870, 1397497, 1360299, 1394641]"
"CBN-PdlC-A1-20160705","[1392608, 1395807, 1394911, 1412857, 1392539, 1392535, 1394643, 1392534, 1360299, 1397535, 1392558, 1392323, 1361281, 1392553, 1664563]"
"CBN-PdlC-A1-20160726","[1395807, 1392608, 1412857, 1392539, 1392535, 1394643, 1394911, 1392534, 1392553, 1742052, 1392558, 1397535, 1395862, 1393200, 1388793]"
"CBN-PdlC-A1-20170816","[1392608, 1395807, 1412857, 1392539, 1392535, 1394643, 1392534, 1742052, 1389929, 1394911, 1392553, 1398471, 1388793, 1359835, 1395862]"
"CBN-PdlC-A1-20170906","[1395807, 1392608, 1412857, 1394643, 1394911, 1392558, 1392611, 1392534, 1392535, 1392539, 1361281, 1360299, 1395862, 1392612, 1647128]"
"CBN-PdlC-A1-20180702","[1392608, 1395807, 1394911, 1664563, 1412857, 1392534, 1394643, 1394910, 1397535, 1397500, 1361281, 1392535, 1392558, 1392553, 1737507]"
"CBN-PdlC-A1-20180815","[1395807, 1392608, 1412857, 1359835, 1392558, 1395862, 1394643, 1392539, 1398471, 1394911, 1664563, 1395870, 1360299, 1394910, 1392323]"
"CBN-PdlC-A1-20180905","[1392608, 1395807, 1412857, 1394643, 1392558, 1361281, 1360299, 1392323, 1390793, 1392539, 1394911, 1395862, 1359835, 1396253, 1392535]"
"CBN-PdlC-A1-20190701","[1395807, 1392608, 1394911, 1394910, 1392539, 1394643, 1392535, 1392534, 1397535, 1397500, 1393200, 1412857, 1737507, 1741808, 1741880]"
"CBN-PdlC-A1-20190722","[1392608, 1395807, 1412857, 1395870, 1394643, 1392539, 1742052, 1396869, 1361281, 1392558, 1394911, 1359835, 1397500, 1389929, 1394540]"
"CBN-PdlC-A1-20190812","[1392608, 1395807, 1412857, 1392558, 1394643, 1742052, 1392611, 1392539, 1359835, 1519650, 1389929, 1394911, 1392535, 1392534, 1361281]"
"CBN-PdlC-A1-20190909","[1392608, 1395807, 1412857, 1392539, 1394643, 1389929, 1390793, 1742052, 1395862, 1359835, 1392558, 1519650, 1395870, 1392535, 1361281]"
"CBN-PdlC-A1-20200629","[1395807, 1390539, 1392558, 1392323, 1389603, 1390880, 1394613, 1395870, 1394643, 1741808, 1395862, 1391412, 1392608, 1384482, 1390793]"
"CBN-PdlC-A1-20200722","[1395807, 1392608, 1394643, 1392539, 1392535, 1412857, 1392534, 1359835, 1742052, 1395870, 1394911, 1647128, 1393200, 1395862, 1397500]"
"CBN-PdlC-A1-20200812","[1392608, 1395807, 1412857, 1392558, 1394643, 1742052, 1392535, 1392539, 1392611, 1647128, 1394911, 1394540, 1392534, 1361281, 1360299]"
"CBN-PdlC-A2-20130807","[1395807, 1412857, 1394911, 1392608, 1392539, 1394910, 1394643, 1393200, 1392535, 1395870, 1741808, 1360269, 1392558, 1397500, 1360874]"
"CBN-PdlC-A2-20130903","[1395807, 1392608, 1393200, 1394643, 1392539, 1392535, 1412857, 1394910, 1389929, 1388793, 1394911, 1647128, 1397500, 1395862, 1394542]"
