"quadrat_id","species_ids"
"2024-CEV3-20240602","[1356275, 1362443, 1360187, 1360203, 1360307, 1450109, 1400181, 1360763, 1391596, 1395114, 1361574, 1359835, 1395045, 1360222, 1738679]"
"CBN-PdlC-A1-20130807","[1395807, 1392608, 1394911, 1394643, 1412857, 1392539, 1737507, 1392535, 1741808, 1392558, 1397500, 1390639, 1360299, 1392612, 1397129]"
"CBN-PdlC-A1-20130903","[1395807, 1392608, 1394643, 1412857, 1393200, 1390793, 1394911, 1360299, 1388793, 1394910, 1742052, 1389929, 1392535, 1394641, 1737701]"
"CBN-PdlC-A1-20140721","[1395807, 1392608, 1412857, 1394643, 1394911, 1392534, 1392535, 1392539, 1397535, 1361281, 1392558, 1360299, 1741880, 1664563, 1392611]"
"CBN-PdlC-A1-20140811","[1395807, 1392608, 1412857, 1392539, 1394911, 1394643, 1395870, 1392535, 1392558, 1519650, 1360299, 1742052, 1651233, 1392612, 1741880]"
"CBN-PdlC-A1-20140901","[1392608, 1395807, 1392539, 1412857, 1394643, 1360299, 1392534, 1392535, 1361281, 1394910, 1388793, 1398471, 1389929, 1742052, 1519650]"
"CBN-PdlC-A1-20150701","[1395807, 1392608, 1392539, 1394911, 1394643, 1412857, 1393200, 1392534, 1392535, 1397535, 1394910, 1360299, 1741880, 1388793, 1741808]"
"CBN-PdlC-A1-20150720","[1395807, 1392608, 1394643, 1412857, 1394911, 1392539, 1392535, 1395870, 1392534, 1742052, 1394910, 1392612, 1359835, 1397500, 1519650]"
"CBN-PdlC-A1-20150831","[1395807, 1392608, 1412857, 1394643, 1392539, 1394911, 1392535, 1361281, 1392558, 1742052, 1519650, 1360299, 1397497, 1394641, 1392553]"
"CBN-PdlC-A1-20160705","[1392608, 1412857, 1394911, 1392323, 1392535, 1392534, 1394643, 1392539, 1397535, 1392558, 1360299, 1361281, 1664563, 1394910, 1741880]"
"CBN-PdlC-A1-20160726","[1395807, 1392608, 1392539, 1412857, 1392535, 1392534, 1394643, 1392558, 1394911, 1361281, 1360269, 1742052, 1519650, 1389929, 1360299]"
"CBN-PdlC-A1-20170816","[1395807, 1392608, 1412857, 1394643, 1392539, 1392534, 1392535, 1394911, 1389929, 1647128, 1398471, 1742052, 1388793, 1360299, 1397535]"
"CBN-PdlC-A1-20170906","[1395807, 1392608, 1412857, 1394643, 1392558, 1394911, 1392534, 1392535, 1361281, 1392612, 1742052, 1519650, 1720959, 1360299, 1397497]"
"CBN-PdlC-A1-20180702","[1392608, 1394911, 1412857, 1394910, 1392534, 1394643, 1664563, 1397535, 1737507, 1397500, 1360299, 1397565, 1362369, 1392552, 1741808]"
